,RNA-seq 8h,RNA-seq 24h,Proteomics 8h,Proteomics 24h
MLXIPL,,,,
MLYCD,,,,
MMAB,,,,
MMADHC,,,,
MME,,,,
MMGT1,,,,
MMP11,,,,
MMP15,,,,
MMP17,,,,
MMP2,,,,
MMP24,,,,
MMRN1,,,,
MMS19,,,,
MMS22L,,,,
MNAT1,,,,
MND1,,,,
MNT,,,,
MNX1,,,,
MOB1B,,,,
MOB2,,,,
MOB3A,,,,
MOB4,,,,
MOCS1,,,,
MOCS2,,,,
MOCS3,,,,
MOGS,,,,
MON1A,,,,
MON1B,,,,
MON2,,,,
MORC2,,,,
MORC3,,,,
MORF4L1,,,,
MORF4L2,,,,
MOSPD1,,,,
MOSPD2,,,,
MOSPD3,,,,
MPC1,,,,
MPC2,,,,
MPDU1,,,,
MPDZ,,,,
MPG,,,,
MPHOSPH10,,,,
MPHOSPH6,,,,
MPHOSPH8,,,,
MPHOSPH9,,,,
MPI,,,,
MPND,,,,
MPP1,,,,
MPP2,,,,
MPP3,,,,
MPP5,,,,
MPP6,,,,
MPP7,,,,
MPRIP,,,,
MPST,,,,
MPV17,,,,
MPV17L2,,,,
MPZL1,,,,
MRFAP1,,,,
MRGBP,,,,
MRI1,,,,
MRM1,,,,
MROH1,,,,
MRPL1,,,,
MRPL10,,,,
MRPL11,,,,
MRPL12,,,,
MRPL13,,,,
MRPL14,,,,
MRPL15,,,,
MRPL16,,,,
MRPL18,,,,
MRPL19,,,,
MRPL2,,,,
MRPL20,,,,
MRPL21,,,,
MRPL22,,,,
MRPL23,,,,
MRPL24,,,,
MRPL27,,,,
MRPL28,,,,
MRPL3,,,,
MRPL30,,,,
MRPL32,,,,
MRPL33,,,,
MRPL34,,,,
MRPL35,,,,
MRPL37,,,,
MRPL38,,,,
MRPL39,,,,
MRPL4,,,,
MRPL41,,,,
MRPL42,,,,
MRPL43,,,,
MRPL44,,,,
MRPL45,,,,
MRPL46,,,,
MRPL47,,,,
MRPL48,,,,
MRPL49,,,,
MRPL50,,,,
MRPL51,,,,
MRPL52,,,,
MRPL53,,,,
MRPL54,,,,
MRPL55,,,,
MRPL9,,,,
MRPS10,,,,
MRPS11,,,,
MRPS12,,,,
MRPS14,,,,
MRPS15,,,,
MRPS16,,,,
MRPS17,,,,
MRPS18A,,,,
MRPS18B,,,,
MRPS18C,,,,
MRPS2,,,,
MRPS21,,,,
MRPS22,,,,
MRPS23,,,,
MRPS24,,,,
MRPS25,,,,
MRPS26,,,,
MRPS27,,,,
MRPS28,,,,
MRPS30,,,,
MRPS31,,,,
MRPS33,,,,
MRPS34,,,,
MRPS35,,,,
MRPS36,,,,
MRPS5,,,,
MRPS6,,,,
MRPS7,,,,
MRPS9,,,,
MRRF,,,,
MRS2,,,,
MRTO4,,,,
MSANTD2,,,,
MSANTD4,,,,
MSH2,,,,
MSH3,,,,
MSH6,,,,
MSI1,,,,
MSI2,,,,
MSL1,,,,
MSL2,,,,
MSL3,,,,
MSLN,,,,
MSMO1,,,,
MSRA,,,,
MSRB2,,,,
MSTO1,,,,
MTA1,,,,
MTA2,,,,
MTA3,,,,
MTAP,,,,
MTCH1,,,,
MTCH2,,,,
MTDH,,,,
MTF2,,,,
MTFMT,,,,
MTFP1,,,,
MTFR1,,,,
MTFR1L,,,,
MTG1,,,,
MTHFD1,,,,
MTHFD1L,,,,
MTHFD2,,,,
MTHFD2L,,,,
MTHFR,,,,
MTHFS,,,,
MTHFSD,,,,
MTIF2,,,,
MTIF3,,,,
MTM1,,,,
MTMR1,,,,
MTMR12,,,,
MTMR14,,,,
MTMR2,,,,
MTMR3,,,,
MTMR6,,,,
MTMR7,,,,
MTMR9,,,,
MTO1,,,,
MTOR,,,,
MTPAP,,,,
MTPN,,,,
MTR,,,,
MTRF1,,,,
MTRF1L,,,,
MTRR,,,,
MTSS1,,,,
MTSS1L,,,,
MTUS2,,,,
MTX1,,,,
MTX2,,,,
MTX3,,,,
MUL1,,,,
MUM1,,,,
MUS81,,,,
MUT,,,,
MUTYH,,,,
MVB12B,,,,
MVD,,,,
MVK,,,,
MXD1,,,,
MXRA7,,,,
MYADM,,,,
MYBBP1A,,,,
MYCBP,,,,
MYCN,,,,
MYEF2,,,,
MYH10,,,,
MYH14,,,,
MYH9,,,,
MYL12B,,,,
MYL6,,,,
MYL6B,,,,
MYO10,,,,
MYO16,,,,
MYO18A,,,,
MYO19,,,,
MYO1A,,,,
MYO1B,,,,
MYO1C,,,,
MYO1D,,,,
MYO1E,,,,
MYO3A,,,,
MYO5A,,,,
MYO5B,,,,
MYO5C,,,,
MYO6,,,,
MYO7A,,,,
MYO7B,,,,
MYO9A,,,,
MYO9B,,,,
MYPOP,,,,
MYRF,,,,
MYSM1,,,,
MYT1,,,,
MYT1L,,,,
MZT1,,,,
MZT2A,,,,
MZT2B,,,,
N4BP2,,,,
N4BP2L2,,,,
N6AMT1,,,,
NAA10,,,,
NAA15,,,,
NAA16,,,,
NAA20,,,,
NAA25,,,,
NAA30,,,,
NAA35,,,,
NAA38,,,,
NAA40,,,,
NAA50,,,,
NAA60,,,,
NAAA,,,,
NAALADL1,,,,
NAB1,,,,
NAB2,,,,
NABP2,,,,
NACA,,,,
NACAD,,,,
NACC1,,,,
NADK,,,,
NADK2,,,,
NADSYN1,,,,
NAE1,,,,
NAF1,,,,
NAGA,,,,
NAGK,,,,
NAGLU,,,,
NAGPA,,,,
NANOS1,,,,
NANP,,,,
NANS,,,,
NAP1L1,,,,
NAP1L4,,,,
NAP1L5,,,,
NAPB,,,,
NAPEPLD,,,,
NAPG,,,,
NARF,,,,
NARFL,,,,
NARS,,,,
NARS2,,,,
NAT10,,,,
NAT14,,,,
NAT9,,,,
NAV1,,,,
NAV2,,,,
NBAS,,,,
NBEA,,,,
NBEAL1,,,,
NBEAL2,,,,
NBR1,,,,
NCAM1,,,,
NCAPD2,,,,
NCAPD3,,,,
NCAPG,,,,
NCAPG2,,,,
NCAPH,,,,
NCAPH2,,,,
NCBP1,,,,
NCBP2,,,,
NCDN,,,,
NCEH1,,,,
NCK1,,,,
NCK2,,,,
NCKAP1,,,,
NCKAP5,,,,
NCKAP5L,,,,
NCKIPSD,,,,
NCL,,,,
NCLN,,,,
NCOA1,,,,
NCOA2,,,,
NCOA4,,,,
NCOA5,,,,
NCOA6,,,,
NCOA7,,,,
NCOR1,,,,
NCOR2,,,,
NCS1,,,,
NCSTN,,,,
NDC1,,,,
NDC80,,,,
NDE1,,,,
NDEL1,,,,
NDFIP1,,,,
NDFIP2,,,,
NDRG1,,,,
NDRG3,,,,
NDRG4,,,,
NDST1,,,,
NDST2,,,,
NDUFA10,,,,
NDUFA11,,,,
NDUFA12,,,,
NDUFA13,,,,
NDUFA2,,,,
NDUFA3,,,,
NDUFA4,,,,
NDUFA5,,,,
NDUFA6,,,,
NDUFA7,,,,
NDUFA8,,,,
NDUFAB1,,,,
NDUFAF1,,,,
NDUFAF2,,,,
NDUFAF3,,,,
NDUFAF4,,,,
NDUFAF6,,,,
NDUFAF7,,,,
NDUFB1,,,,
NDUFB10,,,,
NDUFB11,,,,
NDUFB2,,,,
NDUFB3,,,,
NDUFB4,,,,
NDUFB5,,,,
NDUFB6,,,,
NDUFB7,,,,
NDUFB8,,,,
NDUFB9,,,,
NDUFC1,,,,
NDUFC2,,,,
NDUFS1,,,,
NDUFS2,,,,
NDUFS3,,,,
NDUFS5,,,,
NDUFS6,,,,
NDUFS7,,,,
NDUFS8,,,,
NDUFV1,,,,
NDUFV2,,,,
NDUFV3,,,,
NEBL,,,,
NECAB2,,,,
NECAP2,,,,
NEDD4L,,,,
NEDD8,,,,
NEFM,,,,
NEIL2,,,,
NEK1,,,,
NEK3,,,,
NEK4,,,,
NEK6,,,,
NEK9,,,,
NELFA,,,,
NELFB,,,,
NELFCD,,,,
NELFE,,,,
NEMF,,,,
NENF,,,,
NETO1,,,,
NETO2,,,,
NEU1,,,,
NEURL1B,,,,
NEURL4,,,,
NEUROD1,,,,
NF1,,,,
NF2,,,,
NFAT5,,,,
NFATC2IP,,,,
NFATC3,,,,
NFKB1,,,,
NFKBIB,,,,
NFKBIE,,,,
NFKBIL1,,,,
NFRKB,,,,
NFS1,,,,
NFU1,,,,
NFXL1,,,,
NFYA,,,,
NFYB,,,,
NFYC,,,,
NGDN,,,,
NGLY1,,,,
NGRN,,,,
NHEJ1,,,,
NHLRC2,,,,
NHLRC3,,,,
NHP2,,,,
NHS,,,,
NHSL1,,,,
NID1,,,,
NIF3L1,,,,
NIN,,,,
NIP7,,,,
NIPA1,,,,
NIPA2,,,,
NIPAL1,,,,
NIPBL,,,,
NIPSNAP1,,,,
NIPSNAP3A,,,,
NIPSNAP3B,,,,
NIT1,,,,
NIT2,,,,
NKAP,,,,
NKAPL,,,,
NKIRAS1,,,,
NKIRAS2,,,,
NKRF,,,,
NKX2-2,,,,
NKX6-1,,,,
NKX6-3,,,,
NLE1,,,,
NLK,,,,
NLN,,,,
NLRX1,,,,
NMD3,,,,
NME1,,,,
NME2,,,,
NME3,,,,
NME4,,,,
NME6,,,,
NMNAT1,,,,
NMRAL1,,,,
NMRK1,,,,
NMT1,,,,
NMT2,,,,
NNAT,,,,
NNT,,,,
NOA1,,,,
NOB1,,,,
NOC2L,,,,
NOC3L,,,,
NOC4L,,,,
NOL10,,,,
NOL11,,,,
NOL3,,,,
NOL4,,,,
NOL6,,,,
NOL8,,,,
NOL9,,,,
NOLC1,,,,
NOM1,,,,
NOMO1,,,,
NOMO2,,,,
NONO,,,,
NOP10,,,,
NOP14,,,,
NOP16,,,,
NOP2,,,,
NOP56,,,,
NOP58,,,,
NOP9,,,,
NOSIP,,,,
NOVA1,,,,
NOVA2,,,,
NPAS3,,,,
NPAT,,,,
NPC1,,,,
NPC2,,,,
NPDC1,,,,
NPEPL1,,,,
NPEPPS,,,,
NPHP4,,,,
NPHS1,,,,
NPLOC4,,,,
NPM1,,,,
NPM2,,,,
NPM3,,,,
NPNT,,,,
NPR1,,,,
NPRL2,,,,
NPRL3,,,,
NPTN,,,,
NPTX2,,,,
NPTXR,,,,
NPY,,,,
NQO1,,,,
NR0B1,,,,
NR1D2,,,,
NR2C1,,,,
NR2C2,,,,
NR2C2AP,,,,
NR2F1,,,,
NR2F2,,,,
NR2F6,,,,
NR3C1,,,,
NRAS,,,,
NRBF2,,,,
NRCAM,,,,
NRDE2,,,,
NRF1,,,,
NRGN,,,,
NRM,,,,
NRSN1,,,,
NRSN2,,,,
NRXN1,,,,
NRXN2,,,,
NSA2,,,,
NSD1,,,,
NSDHL,,,,
NSFL1C,,,,
NSMAF,,,,
NSMCE1,,,,
NSMCE2,,,,
NSMCE4A,,,,
NSRP1,,,,
NSUN2,,,,
NSUN3,,,,
NSUN4,,,,
NSUN5,,,,
NSUN6,,,,
NT5C,,,,
NT5C2,,,,
NT5C3B,,,,
NT5DC1,,,,
NT5DC2,,,,
NT5DC3,,,,
NTAN1,,,,
NTHL1,,,,
NTM,,,,
NTMT1,,,,
NTN1,,,,
NTN3,,,,
NTPCR,,,,
NUBP1,,,,
NUBP2,,,,
NUBPL,,,,
NUCB2,,,,
NUCKS1,,,,
NUDC,,,,
NUDCD2,,,,
NUDCD3,,,,
NUDT1,,,,
NUDT11,,,,
NUDT12,,,,
NUDT14,,,,
NUDT15,,,,
NUDT16,,,,
NUDT16L1,,,,
NUDT18,,,,
NUDT19,,,,
NUDT21,,,,
NUDT3,,,,
NUDT5,,,,
NUDT9,,,,
NUF2,,,,
NUFIP2,,,,
NUMA1,,,,
NUMB,,,,
NUMBL,,,,
NUP107,,,,
NUP133,,,,
NUP153,,,,
NUP155,,,,
NUP160,,,,
NUP188,,,,
NUP205,,,,
NUP210,,,,
NUP214,,,,
NUP35,,,,
NUP37,,,,
NUP43,,,,
NUP50,,,,
NUP54,,,,
NUP62,,,,
NUP85,,,,
NUP88,,,,
NUP93,,,,
NUP98,,,,
NUPL2,,,,
NUS1,,,,
NUSAP1,,,,
NUTF2,,,,
NVL,,,,
NXF1,,,,
NXN,,,,
NXT1,,,,
NXT2,,,,
NYNRIN,,,,
OARD1,,,,
OAT,,,,
OBSL1,,,,
OCA2,,,,
OCIAD1,,,,
OCIAD2,,,,
OCRL,,,,
ODF2,,,,
OFD1,,,,
OGDHL,,,,
OGFOD1,,,,
OGFOD2,,,,
OGFOD3,,,,
OGFRL1,,,,
OGT,,,,
OIP5,,,,
OLA1,,,,
OLFM1,,,,
OLFM2,,,,
OMA1,,,,
ONECUT2,,,,
OPA1,,,,
OPA3,,,,
OPHN1,,,,
ORAI1,,,,
ORAI2,,,,
ORAI3,,,,
ORAOV1,,,,
ORC1,,,,
ORC2,,,,
ORC3,,,,
ORC4,,,,
ORC5,,,,
ORC6,,,,
ORMDL1,,,,
ORMDL2,,,,
OS9,,,,
OSBP,,,,
OSBPL10,,,,
OSBPL11,,,,
OSBPL2,,,,
OSBPL6,,,,
OSBPL7,,,,
OSBPL8,,,,
OSBPL9,,,,
OSCP1,,,,
OSGEP,,,,
OSGEPL1,,,,
OSTC,,,,
OSTF1,,,,
OSTM1,,,,
OTUB1,,,,
OTUD3,,,,
OTUD5,,,,
OTUD6B,,,,
OTUD7A,,,,
OTUD7B,,,,
OVCA2,,,,
OXA1L,,,,
OXCT1,,,,
OXLD1,,,,
OXNAD1,,,,
OXSM,,,,
OXSR1,,,,
P2RX4,,,,
P4HA1,,,,
P4HA2,,,,
P4HB,,,,
P4HTM,,,,
PA2G4,,,,
PAAF1,,,,
PABPC1,,,,
PABPC1L,,,,
PABPN1,,,,
PABPN1L,,,,
PACS1,,,,
PACS2,,,,
PACSIN2,,,,
PACSIN3,,,,
PAF1,,,,
PAFAH1B1,,,,
PAFAH1B2,,,,
PAFAH1B3,,,,
PAFAH2,,,,
PAG1,,,,
PAGE5,,,,
PAH,,,,
PAICS,,,,
PAIP1,,,,
PAIP2,,,,
PAIP2B,,,,
PAK1,,,,
PAK1IP1,,,,
PAK3,,,,
PAK4,,,,
PAK6,,,,
PALLD,,,,
PALM,,,,
PALM3,,,,
PAM16,,,,
PAN3,,,,
PANK1,,,,
PANK2,,,,
PANK3,,,,
PANK4,,,,
PAPD4,,,,
PAPD7,,,,
PAPOLA,,,,
PAPOLG,,,,
PAPSS1,,,,
PAPSS2,,,,
PAQR3,,,,
PAQR4,,,,
PARD3B,,,,
PARD6A,,,,
PARD6B,,,,
PARD6G,,,,
PARG,,,,
PARK7,,,,
PARL,,,,
PARM1,,,,
PARN,,,,
PARP1,,,,
PARP16,,,,
PARP2,,,,
PARS2,,,,
PARVA,,,,
PARVB,,,,
PASK,,,,
PATZ1,,,,
PAWR,,,,
PAX6,,,,
PAXBP1,,,,
PAXIP1,,,,
PBK,,,,
PBLD,,,,
PBRM1,,,,
PBX1,,,,
PBX2,,,,
PBX3,,,,
PBXIP1,,,,
PC,,,,
PCBD1,,,,
PCBD2,,,,
PCBP1,,,,
PCBP2,,,,
PCBP3,,,,
PCBP4,,,,
PCCA,,,,
PCCB,,,,
PCDH1,,,,
PCDHA11,,,,
PCDHA12,,,,
PCDHA2,,,,
PCDHA8,,,,
PCDHA9,,,,
PCDHB3,,,,
PCDHB5,,,,
PCDHGB4,,,,
PCF11,,,,
PCGF1,,,,
PCGF2,,,,
PCGF3,,,,
PCGF6,,,,
PCID2,,,,
PCIF1,,,,
PCK2,,,,
PCLO,,,,
PCM1,,,,
PCMT1,,,,
PCMTD1,,,,
PCMTD2,,,,
PCNA,,,,
PCNP,,,,
PCNT,,,,
PCP4,,,,
PCP4L1,,,,
PCSK1,,,,
PCSK1N,,,,
PCSK2,,,,
PCSK9,,,,
PCTP,,,,
PCYOX1,,,,
PCYOX1L,,,,
PCYT1A,,,,
PCYT1B,,,,
PCYT2,,,,
PDAP1,,,,
PDCD10,,,,
PDCD11,,,,
PDCD2,,,,
PDCD4,,,,
PDCD5,,,,
PDCD6,,,,
PDCD6IP,,,,
PDCD7,,,,
PDCL,,,,
PDCL3,,,,
PDE12,,,,
PDE1A,,,,
PDE3B,,,,
PDE5A,,,,
PDE6D,,,,
PDE7A,,,,
PDE8A,,,,
PDF,,,,
PDGFD,,,,
PDHA1,,,,
PDHB,,,,
PDHX,,,,
PDIA3,,,,
PDIK1L,,,,
PDK1,,,,
PDK2,,,,
PDK3,,,,
PDLIM1,,,,
PDLIM4,,,,
PDLIM5,,,,
PDLIM7,,,,
PDP1,,,,
PDP2,,,,
PDPK1,,,,
PDPR,,,,
PDRG1,,,,
PDS5A,,,,
PDS5B,,,,
PDSS1,,,,
PDSS2,,,,
PDX1,,,,
PDXDC1,,,,
PDXP,,,,
PDZD11,,,,
PDZD3,,,,
PDZD8,,,,
PDZK1,,,,
PDZRN3,,,,
PEA15,,,,
PEBP1,,,,
PECR,,,,
PEF1,,,,
PEG10,,,,
PELI1,,,,
PELI2,,,,
PELP1,,,,
PEPD,,,,
PER1,,,,
PER2,,,,
PES1,,,,
PET100,,,,
PET117,,,,
PEX1,,,,
PEX10,,,,
PEX11A,,,,
PEX11B,,,,
PEX12,,,,
PEX13,,,,
PEX14,,,,
PEX16,,,,
PEX19,,,,
PEX2,,,,
PEX26,,,,
PEX3,,,,
PEX5,,,,
PEX6,,,,
PEX7,,,,
PFAS,,,,
PFDN1,,,,
PFDN2,,,,
PFDN4,,,,
PFDN5,,,,
PFDN6,,,,
PFKFB2,,,,
PFKL,,,,
PFKM,,,,
PFN1,,,,
PFN2,,,,
PGAM1,,,,
PGAM2,,,,
PGAM5,,,,
PGAP3,,,,
PGBD3,,,,
PGD,,,,
PGGT1B,,,,
PGK1,,,,
PGLS,,,,
PGM1,,,,
PGM2,,,,
PGM2L1,,,,
PGM3,,,,
PGM5,,,,
PGP,,,,
PGPEP1,,,,
PGRMC1,,,,
PGRMC2,,,,
PGS1,,,,
PHACTR1,,,,
PHACTR2,,,,
PHACTR4,,,,
PHAX,,,,
PHB,,,,
PHB2,,,,
PHC1,,,,
PHC2,,,,
PHC3,,,,
PHF1,,,,
PHF10,,,,
PHF12,,,,
PHF14,,,,
PHF2,,,,
PHF20,,,,
PHF20L1,,,,
PHF21A,,,,
PHF23,,,,
PHF3,,,,
PHF5A,,,,
PHF6,,,,
PHF8,,,,
PHGDH,,,,
PHIP,,,,
PHKA1,,,,
PHKA2,,,,
PHKB,,,,
PHKG2,,,,
PHLDB2,,,,
PHLDB3,,,,
PHLPP1,,,,
PHLPP2,,,,
PHPT1,,,,
PHRF1,,,,
PHTF1,,,,
PHTF2,,,,
PHYH,,,,
PHYHIPL,,,,
PHYKPL,,,,
PI4K2A,,,,
PI4KA,,,,
PI4KB,,,,
PIAS1,,,,
PIAS2,,,,
PIAS3,,,,
PIAS4,,,,
PIBF1,,,,
PICALM,,,,
PICK1,,,,
PIGA,,,,
PIGC,,,,
PIGG,,,,
PIGH,,,,
PIGK,,,,
PIGL,,,,
PIGM,,,,
PIGN,,,,
PIGO,,,,
PIGP,,,,
PIGQ,,,,
PIGS,,,,
PIGT,,,,
PIGU,,,,
PIGW,,,,
PIGX,,,,
PIK3C2A,,,,
PIK3C2B,,,,
PIK3C3,,,,
PIK3CB,,,,
PIK3R1,,,,
PIK3R2,,,,
PIK3R4,,,,
PIKFYVE,,,,
PIN1,,,,
PIN4,,,,
PIP4K2A,,,,
PIP4K2B,,,,
PIP4K2C,,,,
PIP5K1A,,,,
PIP5K1C,,,,
PIR,,,,
PISD,,,,
PITHD1,,,,
PITPNA,,,,
PITPNB,,,,
PITPNC1,,,,
PITPNM1,,,,
PITRM1,,,,
PJA1,,,,
PJA2,,,,
PKD1,,,,
PKD2,,,,
PKDCC,,,,
PKIA,,,,
PKIB,,,,
PKLR,,,,
PKM,,,,
PKMYT1,,,,
PKN1,,,,
PKNOX1,,,,
PKP2,,,,
PKP4,,,,
PLA2G12A,,,,
PLA2G15,,,,
PLA2G4A,,,,
PLAA,,,,
PLAGL1,,,,
PLBD2,,,,
PLCB1,,,,
PLCB3,,,,
PLCB4,,,,
PLCG1,,,,
PLCG2,,,,
PLCL2,,,,
PLCXD1,,,,
PLCXD3,,,,
PLD1,,,,
PLD3,,,,
PLEC,,,,
PLEKHA1,,,,
PLEKHA3,,,,
PLEKHA5,,,,
PLEKHA6,,,,
PLEKHA8,,,,
PLEKHB1,,,,
PLEKHB2,,,,
PLEKHG2,,,,
PLEKHG6,,,,
PLEKHH1,,,,
PLEKHH3,,,,
PLEKHJ1,,,,
PLEKHM2,,,,
PLEKHM3,,,,
PLEKHO2,,,,
PLIN2,,,,
PLIN3,,,,
PLK1,,,,
PLLP,,,,
PLOD1,,,,
PLOD3,,,,
PLP2,,,,
PLRG1,,,,
PLS1,,,,
PLS3,,,,
PLSCR3,,,,
PLXDC2,,,,
PLXNA1,,,,
PLXNA2,,,,
PLXNA3,,,,
PLXNB1,,,,
PLXNB2,,,,
PLXND1,,,,
PMF1,,,,
PMM1,,,,
PMM2,,,,
PMPCA,,,,
PMPCB,,,,
PMS1,,,,
PMS2,,,,
PMVK,,,,
PNISR,,,,
PNKD,,,,
PNKP,,,,
PNMA1,,,,
PNMA2,,,,
PNMA3,,,,
PNN,,,,
PNO1,,,,
PNP,,,,
PNPLA2,,,,
PNPLA4,,,,
PNPLA6,,,,
PNPLA8,,,,
PNPO,,,,
POC1A,,,,
POC1B,,,,
POC5,,,,
PODXL2,,,,
POFUT1,,,,
POFUT2,,,,
POGLUT1,,,,
POGZ,,,,
POLA1,,,,
POLA2,,,,
POLB,,,,
POLD1,,,,
POLD2,,,,
POLD3,,,,
POLDIP2,,,,
POLE,,,,
POLE2,,,,
POLE3,,,,
POLE4,,,,
POLG,,,,
POLG2,,,,
POLH,,,,
POLI,,,,
POLK,,,,
POLL,,,,
POLR1A,,,,
POLR1B,,,,
POLR1C,,,,
POLR1D,,,,
POLR1E,,,,
POLR2A,,,,
POLR2B,,,,
POLR2C,,,,
POLR2D,,,,
POLR2E,,,,
POLR2F,,,,
POLR2G,,,,
POLR2H,,,,
POLR2I,,,,
POLR2J3,,,,
POLR2K,,,,
POLR2L,,,,
POLR2M,,,,
POLR3A,,,,
POLR3B,,,,
POLR3C,,,,
POLR3D,,,,
POLR3E,,,,
POLR3F,,,,
POLR3H,,,,
POLR3K,,,,
POLRMT,,,,
POM121C,,,,
POMGNT1,,,,
POMP,,,,
POMT1,,,,
POMT2,,,,
PON1,,,,
PON2,,,,
PON3,,,,
POP1,,,,
POP4,,,,
POP5,,,,
POP7,,,,
POR,,,,
PORCN,,,,
POT1,,,,
POU2F1,,,,
PPA2,,,,
PPAT,,,,
PPCDC,,,,
PPCS,,,,
PPDPF,,,,
PPFIA1,,,,
PPFIA3,,,,
PPFIBP1,,,,
PPFIBP2,,,,
PPHLN1,,,,
PPIA,,,,
PPID,,,,
PPIE,,,,
PPIF,,,,
PPIG,,,,
PPIH,,,,
PPIL1,,,,
PPIL2,,,,
PPIL3,,,,
PPIL4,,,,
PPIP5K1,,,,
PPIP5K2,,,,
PPL,,,,
PPM1A,,,,
PPM1B,,,,
PPM1D,,,,
PPM1E,,,,
PPM1F,,,,
PPM1G,,,,
PPM1L,,,,
PPME1,,,,
PPOX,,,,
PPP1CA,,,,
PPP1CB,,,,
PPP1CC,,,,
PPP1R10,,,,
PPP1R11,,,,
PPP1R12A,,,,
PPP1R12B,,,,
PPP1R12C,,,,
PPP1R13B,,,,
PPP1R14B,,,,
PPP1R14C,,,,
PPP1R15B,,,,
PPP1R16A,,,,
PPP1R18,,,,
PPP1R2,,,,
PPP1R21,,,,
PPP1R35,,,,
PPP1R3D,,,,
PPP1R7,,,,
PPP1R8,,,,
PPP1R9A,,,,
PPP1R9B,,,,
PPP2CA,,,,
PPP2CB,,,,
PPP2R1A,,,,
PPP2R1B,,,,
PPP2R3A,,,,
PPP2R3C,,,,
PPP2R5A,,,,
PPP2R5C,,,,
PPP2R5D,,,,
PPP2R5E,,,,
PPP3CA,,,,
PPP3CB,,,,
PPP3CC,,,,
PPP3R1,,,,
PPP4C,,,,
PPP4R1,,,,
PPP4R2,,,,
PPP4R4,,,,
PPP5C,,,,
PPP6C,,,,
PPP6R1,,,,
PPP6R2,,,,
PPP6R3,,,,
PPT1,,,,
PPT2,,,,
PPTC7,,,,
PPWD1,,,,
PQBP1,,,,
PQLC1,,,,
PQLC2,,,,
PRADC1,,,,
PRAF2,,,,
PRC1,,,,
PRCC,,,,
PRCP,,,,
PRDM10,,,,
PRDM2,,,,
PRDM4,,,,
PRDX1,,,,
PRDX2,,,,
PRDX3,,,,
PRDX4,,,,
PRDX5,,,,
PRDX6,,,,
PREB,,,,
PRELID2,,,,
PREP,,,,
PREPL,,,,
PRIM1,,,,
PRIM2,,,,
PRKAA1,,,,
PRKAA2,,,,
PRKAB1,,,,
PRKAB2,,,,
PRKACA,,,,
PRKACB,,,,
PRKAG1,,,,
PRKAG2,,,,
PRKAR1A,,,,
PRKAR1B,,,,
PRKAR2A,,,,
PRKAR2B,,,,
PRKCA,,,,
PRKCD,,,,
PRKCG,,,,
PRKCH,,,,
PRKCI,,,,
PRKCSH,,,,
PRKCZ,,,,
PRKD1,,,,
PRKD3,,,,
PRKDC,,,,
PRKRA,,,,
PRMT1,,,,
PRMT5,,,,
PRMT6,,,,
PRNP,,,,
PROC,,,,
PRODH,,,,
PRODH2,,,,
PROSER1,,,,
PRPF18,,,,
PRPF19,,,,
PRPF3,,,,
PRPF31,,,,
PRPF38A,,,,
PRPF38B,,,,
PRPF39,,,,
PRPF4,,,,
PRPF40A,,,,
PRPF40B,,,,
PRPF4B,,,,
PRPF6,,,,
PRPF8,,,,
PRPS1,,,,
PRPS2,,,,
PRPSAP1,,,,
PRPSAP2,,,,
PRR11,,,,
PRR12,,,,
PRR14,,,,
PRR14L,,,,
PRR15L,,,,
PRR3,,,,
PRRC1,,,,
PRRC2A,,,,
PRRC2B,,,,
PRRC2C,,,,
PRRT3,,,,
PRSS12,,,,
PRSS22,,,,
PRTFDC1,,,,
PRUNE2,,,,
PSAP,,,,
PSD3,,,,
PSEN1,,,,
PSEN2,,,,
PSENEN,,,,
PSIP1,,,,
PSMA1,,,,
PSMB1,,,,
PSMB5,,,,
PSMB6,,,,
PSMB7,,,,
PSMC2,,,,
PSMC3,,,,
PSMC3IP,,,,
PSMC4,,,,
PSMC5,,,,
PSMC6,,,,
PSMD1,,,,
PSMD10,,,,
PSMD11,,,,
PSMD12,,,,
PSMD13,,,,
PSMD14,,,,
PSMD2,,,,
PSMD3,,,,
PSMD4,,,,
PSMD5,,,,
PSMD6,,,,
PSMD7,,,,
PSMD8,,,,
PSMD9,,,,
PSME3,,,,
PSME4,,,,
PSMF1,,,,
PSMG1,,,,
PSMG2,,,,
PSMG3,,,,
PSMG4,,,,
PSPC1,,,,
PSPH,,,,
PSRC1,,,,
PTAR1,,,,
PTBP1,,,,
PTBP2,,,,
PTBP3,,,,
PTCD1,,,,
PTCD2,,,,
PTCD3,,,,
PTCH1,,,,
PTDSS1,,,,
PTDSS2,,,,
PTEN,,,,
PTER,,,,
PTGDR2,,,,
PTGES2,,,,
PTGES3,,,,
PTGES3L-AARSD1,,,,
PTGR1,,,,
PTGR2,,,,
PTK2,,,,
PTK7,,,,
PTMA,,,,
PTOV1,,,,
PTP4A1,,,,
PTP4A2,,,,
PTPDC1,,,,
PTPMT1,,,,
PTPN1,,,,
PTPN11,,,,
PTPN12,,,,
PTPN18,,,,
PTPN2,,,,
PTPN23,,,,
PTPN3,,,,
PTPN6,,,,
PTPN9,,,,
PTPRA,,,,
PTPRD,,,,
PTPRE,,,,
PTPRF,,,,
PTPRJ,,,,
PTPRN,,,,
PTPRN2,,,,
PTPRS,,,,
PTPRT,,,,
PTPRU,,,,
PTPRZ1,,,,
PTRH1,,,,
