Cluster 1,Cluster 2,Cluster 3,Cluster 1A,Cluster 1B,Cluster 1C,Cluster 2B
,PXK,,,,,
,QKI,,,,,
,RAB19,,,,,
,RAB8B,,,,,
,RABGAP1L,,,,,
,RAD9A,,,,,
,RAMP3,,,,,
,RBCK1,,,,,
,RBFOX1,,,,,
,RBM11,,,,,
,RBM7,,,,,
,RELN,,,,,
,RET,,,,,
,RFX5,,,,,
,RGS1,,,,,
,RGS20,,,,,
,RGS22,,,,,
,RHBDF2,,,,,
,RIPK1,,,,,
,RIPK2,,,,,
,R0SEL,,,,,
,RND3,,,,,
,RNF19B,,,,,
,RNF31,,,,,
,RNF43,,,,,
,S100A6,,,,,
,S1PR2,,,,,
,SAMD4A,,,,,
,SAT1,,,,,
,SCARB2,,,,,
,SCLT1,,,,,
,SCML4,,,,,
,SCN9A,,,,,
,SEMA6D,,,,,
,SERPINB9,,,,,
,SH3BGRL,,,,,
,SHISA5,,,,,
,SHOX2,,,,,
,SIX1,,,,,
,SLC12A7,,,,,
,SLC22A4,,,,,
,SLC25A28,,,,,
,SLC2A12,,,,,
,SLC38A4,,,,,
,SLC7A11,,,,,
,SLC8A1,,,,,
,SLCO5A1,,,,,
,SLFN12,,,,,
,SLFN5,,,,,
,SMAD1,,,,,
,SMG7,,,,,
,SMIM14,,,,,
,SNX6,,,,,
,SP140L,,,,,
,SPATS2L,,,,,
,SPINK1,,,,,
,SPSB1,,,,,
,STAP2,,,,,
,STARD4,,,,,
,STAT3,,,,,
,STAT4,,,,,
,STX17,,,,,
,SYTL3,,,,,
,TANK,,,,,
,TAPBP,,,,,
,TAPBPL,,,,,
,TBX1,,,,,
,TBX15,,,,,
,TCF4,,,,,
,TESK2,,,,,
,TGIF2,,,,,
,THSD1,,,,,
,THSD7A,,,,,
,TICAM1,,,,,
,TLK2,,,,,
,TLL2,,,,,
,TLR1,,,,,
,TMED7-TICAM2,,,,,
,TMEM106A,,,,,
,TMEM110-MUSTN1,,,,,
,TMEM219,,,,,
,TMEM229B,,,,,
,TMEM236,,,,,
,TMEM27,,,,,
,TMEM62,,,,,
,TNFAIP3,,,,,
,TNFRSF11A,,,,,
,TNFRSF14,,,,,
,TNFSF13B,,,,,
,TRAFD1,,,,,
,TREX1,,,,,
,TRIM26,,,,,
,TRPM6,,,,,
,TTC38,,,,,
,TTC39B,,,,,
,UBA6,,,,,
,UBE2QL1,,,,,
,ULBP1,,,,,
,USF1,,,,,
,USP25,,,,,
,UTRN,,,,,
,VAMP5,,,,,
,VWA3B,,,,,
,WARS,,,,,
,WDR49,,,,,
,WDR86,,,,,
,WHAMM,,,,,
,XIAP,,,,,
,XRN1,,,,,
,ZBTB33,,,,,
,ZBTB42,,,,,
,ZC3H12A,,,,,
,ZCCHC2,,,,,
,ZFYVE26,,,,,
,ZNF107,,,,,
,ZNF385D,,,,,
,ZNF391,,,,,
,ZNF804A,,,,,
